album_id,pub_name,rank,is_ranked,score,artist,title,format,genres,label,date,website,producer
103893,The 405,27,TRUE,90,Iceage,Beyondless,LP,Post-Punk,Matador,2018-05-04,NA,NA
95838,The 405,26,TRUE,85,Rae Morris,Someone Out There,LP,Electropop,Atlantic,2018-02-02,NA,NA
99931,The 405,25,TRUE,85,Mount Eerie,Now Only,LP,"Singer-Songwriter, Indie Folk",P.W. Elverum & Sun,2018-03-16,NA,NA
119341,The 405,24,TRUE,80,Daughters,You Won't Get What You Want,LP,"Noise Rock, Industrial Rock",Ipecac,2018-10-26,NA,NA
109813,The 405,23,TRUE,85,Travis Scott,ASTROWORLD,LP,Trap Rap,"Epic, Grand Hustle",2018-08-03,NA,NA
95362,The 405,22,TRUE,NA,Khruangbin,Con Todo El Mundo,LP,Psychedelic Rock,Dead Oceans,2018-01-26,NA,NA
103203,The 405,21,TRUE,NA,Kacey Musgraves,Golden Hour,LP,Country Pop,MCA Nashville,2018-03-30,www.kaceymusgraves.com,NA
107808,The 405,20,TRUE,85,Møl,JORD,LP,Blackgaze,Holy Roar,2018-04-13,NA,NA
100832,The 405,19,TRUE,85,Black Milk,FEVER,LP,Hip Hop,"Mass Appeal, Computer Ugly",2018-02-23,blackmilk.biz,NA
120717,The 405,18,TRUE,85,Yves Tumor,Safe in the Hands of Love,LP,"Post-Industrial, Neo-Psychedelia",Warp,2018-09-05,NA,NA
122191,The 405,17,TRUE,80,Gaye Su Akyol,"İstikrarlı Hayal Hakikattir,",LP,"NA",Glitterbeat Records,2018-10-26,NA,NA
116105,The 405,16,TRUE,90,Mac Miller,Swimming,LP,"Pop Rap, Alternative R&B",Parlaphone,2018-08-03,macmillerswebsite.com,NA
116573,The 405,15,TRUE,85,Blood Orange,Negro Swan,LP,"Alternative R&B, Sophisti-Pop",Domino,2018-08-24,NA,NA
113645,The 405,14,TRUE,80,Low,Double Negative,LP,"Ambient Pop, Glitch Pop, Noise Pop",Sub Pop,2018-09-14,chairkickers.com,NA
118193,The 405,13,TRUE,NA,Hermit and the Recluse,Orpheus vs. the Sirens,LP,Abstract Hip Hop,Obol for Charon,2018-08-18,NA,NA
101379,The 405,12,TRUE,NA,Park Jiha,Communion,LP,Modern Classical,Glitterbeat,2018-03-02,NA,NA
